user_id,content_id,watch_time_min,rating,watch_date
U0001,C118,164,2,2025-06-23 16:09:50.935680
U0001,C079,20,5,2025-06-16 16:09:50.935852
U0001,C061,34,3,2025-09-05 16:09:50.935963
U0001,C198,59,4,2026-01-31 16:09:50.936052
U0001,C130,130,2,2025-11-02 16:09:50.936127
U0001,C046,64,4,2025-02-24 16:09:50.936201
U0001,C058,27,5,2025-05-30 16:09:50.936270
U0001,C161,22,2,2025-11-10 16:09:50.936333
U0001,C039,87,2,2025-12-01 16:09:50.936394
U0001,C002,122,1,2025-11-30 16:09:50.936454
U0001,C165,107,1,2025-08-11 16:09:50.936514
U0001,C136,66,4,2025-12-06 16:09:50.936580
U0001,C063,146,5,2025-10-22 16:09:50.936705
U0001,C001,85,3,2025-08-01 16:09:50.936790
U0001,C149,87,4,2025-07-31 16:09:50.936857
U0001,C170,29,4,2025-10-10 16:09:50.936921
U0001,C191,45,2,2025-03-04 16:09:50.936986
U0001,C194,66,3,2025-06-16 16:09:50.937054
U0001,C168,121,5,2025-12-28 16:09:50.937117
U0001,C086,17,3,2025-05-05 16:09:50.937187
U0001,C158,52,4,2025-05-25 16:09:50.937252
U0001,C154,136,4,2025-04-09 16:09:50.937316
U0001,C118,161,5,2025-11-14 16:09:50.937382
U0001,C139,19,5,2025-09-12 16:09:50.937447
U0001,C106,104,3,2025-11-13 16:09:50.937513
U0001,C027,108,5,2025-10-25 16:09:50.937582
U0001,C012,21,5,2025-07-01 16:09:50.937654
U0001,C107,85,5,2025-03-07 16:09:50.937720
U0001,C098,30,5,2025-06-06 16:09:50.937794
U0001,C125,171,3,2025-05-15 16:09:50.937876
U0001,C133,126,3,2025-04-13 16:09:50.937956
U0001,C132,79,2,2025-06-04 16:09:50.938025
U0001,C031,90,5,2025-05-21 16:09:50.938092
U0001,C105,119,2,2025-06-19 16:09:50.938163
U0001,C158,159,3,2025-07-18 16:09:50.938230
U0001,C101,161,2,2025-09-07 16:09:50.938290
U0001,C075,65,3,2025-10-10 16:09:50.938355
U0001,C050,30,2,2026-01-17 16:09:50.938424
U0001,C073,15,3,2025-09-20 16:09:50.938485
U0001,C175,21,3,2025-09-17 16:09:50.938554
U0002,C029,59,1,2026-01-26 16:09:50.938630
